type,pageTitle,decision
type-root,"Project Documentation",keep
type-other,"How to Create Project Documentation Pages",keep
type-other,".CI New Project Documentation Template",keep
type-other,"Project Documentation Pages - System list",keep
type-customer,"Akzo Nobel",move
type-customer,"Aldi",move
type-project-root,"Aldi - Performance Review 3 - November 2015",move
type-customer,"Arco",move
type-project-root,"Arco - Design review - December 2015",move
type-customer,"Arsenal FC",move
type-project-root,"Arsenal FC - Performance Review - August 2016",move
type-customer,"BAT",move
type-customer,"BHS",move
type-customer,"Burberry",migrationcheck-type-customer
type-customer,"Capita",migrationcheck-type-customer
type-project-root,"Capita - May 2016 - Design Review",migrationcheck-type-project-root
type-customer,"Carphone Warehouse (Dixons Carphone)",migrationcheck-type-customer
type-customer,"Clarks",migrationcheck-type-customer
type-customer,"Dansk Supermarked",migrationcheck-type-customer
type-customer,"Dr Martens",migrationcheck-type-customer
type-customer,"Dyson",migrationcheck-type-customer
type-project-root,"Dyson - Promotions",migrationcheck-type-project-root
type-customer,"EE (Everything Everywhere)",migrationcheck-type-customer
type-customer,"Electrolux",migrationcheck-type-customer
type-customer,"G-Star",migrationcheck-type-customer
type-customer,"GSK",migrationcheck-type-customer
type-project-root,"GSK North America",migrationcheck-type-project-root
type-project-root,"GSK UK",migrationcheck-type-project-root
type-customer,"Goodyear",migrationcheck-type-customer
type-customer,"Grandvision",migrationcheck-type-customer
type-customer,"Grundfos",migrationcheck-type-customer
type-project-root,"Grundfos - Performance Review",migrationcheck-type-project-root
type-project-root,"Grundfos - Rolling update deployment",migrationcheck-type-project-root
type-project-root,"Grundfos - full indexing optimization",migrationcheck-type-project-root
type-customer,"H&M Global Expansion (GOEP)",migrationcheck-type-customer
type-project-root,"GOEP Development setup",migrationcheck-type-project-root
type-project-root,"H&M - Appeaser",migrationcheck-type-project-root
type-project-root,"H&M - Initiatives",migrationcheck-type-project-root
type-customer,"Heineken EU",migrationcheck-type-customer
type-customer,"Heineken International",migrationcheck-type-customer
type-customer,"House of Fraser",migrationcheck-type-customer
type-customer,"Iceland",migrationcheck-type-customer
type-customer,"JD Williams",migrationcheck-type-customer
type-project-root,"JD Williams - 2015 - Fit 4 Future - Europe",migrationcheck-type-project-root
type-project-root,"JD Williams - 2016 - Fit 4 Future - US",migrationcheck-type-project-root
type-customer,"Joules",migrationcheck-type-customer
type-customer,"Maplin",migrationcheck-type-customer
type-customer,"Matches Fashion",migrationcheck-type-customer
type-project-root,"MF - Reading text content from props",migrationcheck-type-project-root
type-project-root,"Matches Fashion - PLP Design Review",migrationcheck-type-project-root
